#,Stadium,Capacity,Spectators,Average,Matches,sold out,Capacity.1,Club,Year
,Al Majma'ah Sports City Stadium,,,,,,,,2016
,Al-Faisaly FC,,,,,,,,2016
,Total:,0.0,1.269.551,7.053,180.0,0,25.0 %,,2016
1.0,King Abdullah Sports CityAl-Ahli SFC,62.345,216.456,16.65,13.0,-,26.7 %,,2017
,King Abdullah Sports City,,,,,,,,2017
,Al-Ahli SFC,,,,,,,,2017
2.0,King Abdullah Sports CityAl-Ittihad Club,62.345,210.757,16.212,13.0,-,26.0 %,,2017
,King Abdullah Sports City,,,,,,,,2017
,Al-Ittihad Club,,,,,,,,2017
3.0,King Fahd International StadiumAl-Hilal SFC,68.752,158.523,12.194,13.0,-,17.7 %,,2017
,King Fahd International Stadium,,,,,,,,2017
,Al-Hilal SFC,,,,,,,,2017
4.0,Prince Mohammed bin Abdul Aziz StadiumOhod Club,24.0,79.325,6.102,13.0,-,25.4 %,,2017
,Prince Mohammed bin Abdul Aziz Stadium,,,,,,,,2017
,Ohod Club,,,,,,,,2017
5.0,Al-Awwal ParkAl-Nassr FC,25.0,71.246,5.48,13.0,-,21.9 %,,2017
,Al-Awwal Park,,,,,,,,2017
,Al-Nassr FC,,,,,,,,2017
6.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,62.000,4.769,13.0,-,19.1 %,,2017
,King Abdullah Sport City Stadium,,,,,,,,2017
,Al-Raed SFC,,,,,,,,2017
7.0,Al-Taawoun Club StadiumAl-Taawoun FC,5.961,43.042,3.587,12.0,-,60.2 %,,2017
,Al-Taawoun Club Stadium,,,,,,,,2017
,Al-Taawoun FC,,,,,,,,2017
8.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,40.175,3.09,13.0,-,8.8 %,,2017
,Prince Mohamed bin Fahd Stadium,,,,,,,,2017
,Al-Ettifaq FC,,,,,,,,2017
9.0,Prince Abdullah bin Jalawi StadiumAl-Fateh SC,26.0,37.605,3.134,12.0,-,12.1 %,,2017
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2017
,Al-Fateh SC,,,,,,,,2017
10.0,Al-Batin Club StadiumAl-Batin FC,6.0,34.062,2.62,13.0,1,43.7 %,,2017
,Al-Batin Club Stadium,,,,,,,,2017
,Al-Batin FC,,,,,,,,2017
11.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,27.764,2.136,13.0,-,9.5 %,,2017
,Prince Faisal bin Fahad Stadium,,,,,,,,2017
,Al-Shabab FC,,,,,,,,2017
12.0,Prince Saud bin Jalawi StadiumAl-Qadsiah FC,11.8,26.374,2.198,12.0,-,18.6 %,,2017
,Prince Saud bin Jalawi Stadium,,,,,,,,2017
,Al-Qadsiah FC,,,,,,,,2017
13.0,Al Majma'ah Sports City StadiumAl-Faisaly FC,7.0,12.632,972.0,13.0,-,13.9 %,,2017
,Al Majma'ah Sports City Stadium,,,,,,,,2017
,Al-Faisaly FC,,,,,,,,2017
14.0,Al-Majma'ah Sports CityAl-Fayha FC,7.0,12.199,938.0,13.0,-,13.4 %,,2017
,Al-Majma'ah Sports City,,,,,,,,2017
,Al-Fayha FC,,,,,,,,2017
,Total:,0.0,1.032.160,5.766,179.0,1,22.6 %,,2017
1.0,King Abdullah Sports CityAl-Ittihad Club,62.345,448.123,34.471,13.0,-,55.3 %,,2018
,King Abdullah Sports City,,,,,,,,2018
,Al-Ittihad Club,,,,,,,,2018
2.0,King Abdullah Sports CityAl-Ahli SFC,62.345,253.178,21.098,12.0,-,33.8 %,,2018
,King Abdullah Sports City,,,,,,,,2018
,Al-Ahli SFC,,,,,,,,2018
3.0,King Fahd International StadiumAl-Hilal SFC,68.752,252.586,21.049,12.0,-,30.6 %,,2018
,King Fahd International Stadium,,,,,,,,2018
,Al-Hilal SFC,,,,,,,,2018
4.0,Al-Awwal ParkAl-Nassr FC,25.0,146.542,14.654,10.0,-,58.6 %,,2018
,Al-Awwal Park,,,,,,,,2018
,Al-Nassr FC,,,,,,,,2018
5.0,King Abdul Aziz StadiumAl-Wehda FC,38.0,75.915,7.592,10.0,-,20.0 %,,2018
,King Abdul Aziz Stadium,,,,,,,,2018
,Al-Wehda FC,,,,,,,,2018
6.0,Prince Mohammed bin Abdul Aziz StadiumOhod Club,24.0,43.816,6.259,7.0,-,26.1 %,,2018
,Prince Mohammed bin Abdul Aziz Stadium,,,,,,,,2018
,Ohod Club,,,,,,,,2018
7.0,Al-Taawoun Club StadiumAl-Taawoun FC,5.961,39.931,4.437,9.0,-,74.4 %,,2018
,Al-Taawoun Club Stadium,,,,,,,,2018
,Al-Taawoun FC,,,,,,,,2018
8.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,39.072,4.884,8.0,-,14.0 %,,2018
,Prince Mohamed bin Fahd Stadium,,,,,,,,2018
,Al-Ettifaq FC,,,,,,,,2018
9.0,Al-Batin Club StadiumAl-Batin FC,6.0,36.369,3.031,12.0,1,50.5 %,,2018
,Al-Batin Club Stadium,,,,,,,,2018
,Al-Batin FC,,,,,,,,2018
10.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,31.987,3.554,9.0,-,14.2 %,,2018
,King Abdullah Sport City Stadium,,,,,,,,2018
,Al-Raed SFC,,,,,,,,2018
11.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,31.752,2.887,11.0,-,12.8 %,,2018
,Prince Faisal bin Fahad Stadium,,,,,,,,2018
,Al-Shabab FC,,,,,,,,2018
12.0,Prince Saud bin Jalawi StadiumAl-Qadsiah FC,11.8,27.658,2.766,10.0,-,23.4 %,,2018
,Prince Saud bin Jalawi Stadium,,,,,,,,2018
,Al-Qadsiah FC,,,,,,,,2018
13.0,Prince Abdullah bin Jalawi StadiumAl-Fateh SC,26.0,26.289,2.921,9.0,-,11.2 %,,2018
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2018
,Al-Fateh SC,,,,,,,,2018
14.0,Al-Hazem Club StadiumAl-Hazem SC,8.0,18.997,2.375,8.0,-,29.7 %,,2018
,Al-Hazem Club Stadium,,,,,,,,2018
,Al-Hazem SC,,,,,,,,2018
15.0,Al-Majma'ah Sports CityAl-Fayha FC,7.0,17.381,1.931,9.0,-,27.6 %,,2018
,Al-Majma'ah Sports City,,,,,,,,2018
,Al-Fayha FC,,,,,,,,2018
16.0,Al Majma'ah Sports City StadiumAl-Faisaly FC,7.0,10.345,1.149,9.0,-,16.4 %,,2018
,Al Majma'ah Sports City Stadium,,,,,,,,2018
,Al-Faisaly FC,,,,,,,,2018
,Total:,0.0,1.499.941,9.493,158.0,1,31.2 %,,2018
1.0,King Fahd International StadiumAl-Hilal SFC,68.752,59.703,19.901,3.0,-,29.0 %,,2019
,King Fahd International Stadium,,,,,,,,2019
,Al-Hilal SFC,,,,,,,,2019
2.0,King Abdullah Sports CityAl-Ittihad Club,62.345,59.429,19.81,3.0,-,31.8 %,,2019
,King Abdullah Sports City,,,,,,,,2019
,Al-Ittihad Club,,,,,,,,2019
3.0,King Abdullah Sports CityAl-Ahli SFC,62.345,30.198,30.198,1.0,-,48.4 %,,2019
,King Abdullah Sports City,,,,,,,,2019
,Al-Ahli SFC,,,,,,,,2019
4.0,Prince Abdullah bin Jalawi StadiumAl-Fateh SC,26.0,17.419,8.71,2.0,-,33.5 %,,2019
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2019
,Al-Fateh SC,,,,,,,,2019
5.0,Prince Abdullah bin Jalawi StadiumAl-Adalah FC,26.0,15.304,15.304,1.0,-,58.9 %,,2019
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2019
,Al-Adalah FC,,,,,,,,2019
6.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,13.01,6.505,2.0,-,18.6 %,,2019
,Prince Mohamed bin Fahd Stadium,,,,,,,,2019
,Al-Ettifaq FC,,,,,,,,2019
7.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,8.911,8.911,1.0,-,39.6 %,,2019
,Prince Faisal bin Fahad Stadium,,,,,,,,2019
,Al-Shabab FC,,,,,,,,2019
8.0,Al-Majma'ah Sports CityAl-Fayha FC,7.0,5.317,5.317,1.0,-,76.0 %,,2019
,Al-Majma'ah Sports City,,,,,,,,2019
,Al-Fayha FC,,,,,,,,2019
9.0,Al-Hazem Club StadiumAl-Hazem SC,8.0,0.0,0.0,0.0,-,%,,2019
,Al-Hazem Club Stadium,,,,,,,,2019
,Al-Hazem SC,,,,,,,,2019
10.0,King Abdul Aziz StadiumAl-Wehda FC,38.0,0.0,0.0,0.0,-,%,,2019
,King Abdul Aziz Stadium,,,,,,,,2019
,Al-Wehda FC,,,,,,,,2019
11.0,Al-Awwal ParkAl-Nassr FC,25.0,0.0,0.0,0.0,-,%,,2019
,Al-Awwal Park,,,,,,,,2019
,Al-Nassr FC,,,,,,,,2019
12.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,0.0,0.0,0.0,-,%,,2019
,King Abdullah Sport City Stadium,,,,,,,,2019
,Al-Raed SFC,,,,,,,,2019
13.0,Al-Taawoun Club StadiumAl-Taawoun FC,5.961,0.0,0.0,0.0,-,%,,2019
,Al-Taawoun Club Stadium,,,,,,,,2019
,Al-Taawoun FC,,,,,,,,2019
14.0,Al Majma'ah Sports City StadiumAl-Faisaly FC,7.0,0.0,0.0,0.0,-,%,,2019
,Al Majma'ah Sports City Stadium,,,,,,,,2019
,Al-Faisaly FC,,,,,,,,2019
15.0,Prince Sultan bin Abdul Aziz StadiumAbha Club,20.0,0.0,0.0,0.0,-,%,,2019
,Prince Sultan bin Abdul Aziz Stadium,,,,,,,,2019
,Abha Club,,,,,,,,2019
16.0,Damac Club StadiumDamac FC,5.0,0.0,0.0,0.0,-,%,,2019
,Damac Club Stadium,,,,,,,,2019
,Damac FC,,,,,,,,2019
,Total:,0.0,209.291,14.949,14.0,0,21.0 %,,2019
1.0,King Fahd International StadiumAl-Hilal SFC,68.752,0.0,0.0,0.0,-,%,,2020
,King Fahd International Stadium,,,,,,,,2020
,Al-Hilal SFC,,,,,,,,2020
2.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,0.0,0.0,0.0,-,%,,2020
,Prince Mohamed bin Fahd Stadium,,,,,,,,2020
,Al-Ettifaq FC,,,,,,,,2020
3.0,King Abdullah Sports CityAl-Ittihad Club,62.345,0.0,0.0,0.0,-,%,,2020
,King Abdullah Sports City,,,,,,,,2020
,Al-Ittihad Club,,,,,,,,2020
4.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,0.0,0.0,0.0,-,%,,2020
,Prince Faisal bin Fahad Stadium,,,,,,,,2020
,Al-Shabab FC,,,,,,,,2020
5.0,King Abdul Aziz StadiumAl-Wehda FC,38.0,0.0,0.0,0.0,-,%,,2020
,King Abdul Aziz Stadium,,,,,,,,2020
,Al-Wehda FC,,,,,,,,2020
6.0,King Abdullah Sports CityAl-Ahli SFC,62.345,0.0,0.0,0.0,-,%,,2020
,King Abdullah Sports City,,,,,,,,2020
,Al-Ahli SFC,,,,,,,,2020
7.0,Al-Awwal ParkAl-Nassr FC,25.0,0.0,0.0,0.0,-,%,,2020
,Al-Awwal Park,,,,,,,,2020
,Al-Nassr FC,,,,,,,,2020
8.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,0.0,0.0,0.0,-,%,,2020
,King Abdullah Sport City Stadium,,,,,,,,2020
,Al-Raed SFC,,,,,,,,2020
9.0,Prince Saud bin Jalawi StadiumAl-Qadsiah FC,11.8,0.0,0.0,0.0,-,%,,2020
,Prince Saud bin Jalawi Stadium,,,,,,,,2020
,Al-Qadsiah FC,,,,,,,,2020
10.0,Prince Abdullah bin Jalawi StadiumAl-Fateh SC,26.0,0.0,0.0,0.0,-,%,,2020
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2020
,Al-Fateh SC,,,,,,,,2020
11.0,Al-Batin Club StadiumAl-Batin FC,6.0,0.0,0.0,0.0,-,%,,2020
,Al-Batin Club Stadium,,,,,,,,2020
,Al-Batin FC,,,,,,,,2020
12.0,Al-Taawoun Club StadiumAl-Taawoun FC,5.961,0.0,0.0,0.0,-,%,,2020
,Al-Taawoun Club Stadium,,,,,,,,2020
,Al-Taawoun FC,,,,,,,,2020
13.0,Al Majma'ah Sports City StadiumAl-Faisaly FC,7.0,0.0,0.0,0.0,-,%,,2020
,Al Majma'ah Sports City Stadium,,,,,,,,2020
,Al-Faisaly FC,,,,,,,,2020
14.0,Prince Sultan bin Abdul Aziz StadiumAbha Club,20.0,0.0,0.0,0.0,-,%,,2020
,Prince Sultan bin Abdul Aziz Stadium,,,,,,,,2020
,Abha Club,,,,,,,,2020
15.0,Damac Club StadiumDamac FC,5.0,0.0,0.0,0.0,-,%,,2020
,Damac Club Stadium,,,,,,,,2020
,Damac FC,,,,,,,,2020
16.0,King Saud Sport City StadiumAl-Ain SFC,10.0,0.0,0.0,0.0,-,%,,2020
,King Saud Sport City Stadium,,,,,,,,2020
,Al-Ain SFC,,,,,,,,2020
,Total:,0.0,0.0,0.0,0.0,0,%,,2020
1.0,King Abdullah Sports CityAl-Ittihad Club,62.345,388.930,35.357,11.0,-,56.7 %,,2021
,King Abdullah Sports City,,,,,,,,2021
,Al-Ittihad Club,,,,,,,,2021
2.0,King Fahd International StadiumAl-Hilal SFC,68.752,184.474,13.177,14.0,-,19.2 %,,2021
,King Fahd International Stadium,,,,,,,,2021
,Al-Hilal SFC,,,,,,,,2021
3.0,King Abdullah Sports CityAl-Ahli SFC,62.345,136.692,15.188,9.0,-,24.4 %,,2021
,King Abdullah Sports City,,,,,,,,2021
,Al-Ahli SFC,,,,,,,,2021
4.0,Al-Awwal ParkAl-Nassr FC,25.0,73.091,8.121,9.0,-,32.5 %,,2021
,Al-Awwal Park,,,,,,,,2021
,Al-Nassr FC,,,,,,,,2021
5.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,56.923,5.692,10.0,-,25.3 %,,2021
,Prince Faisal bin Fahad Stadium,,,,,,,,2021
,Al-Shabab FC,,,,,,,,2021
6.0,Prince Abdul Aziz bin Musa'ed StadiumAl-Tai FC,12.0,54.994,5.499,10.0,-,45.8 %,,2021
,Prince Abdul Aziz bin Musa'ed Stadium,,,,,,,,2021
,Al-Tai FC,,,,,,,,2021
7.0,Al-Taawoun Club StadiumAl-Taawoun FC,5.961,46.073,4.607,10.0,-,77.3 %,,2021
,Al-Taawoun Club Stadium,,,,,,,,2021
,Al-Taawoun FC,,,,,,,,2021
8.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,45.446,5.05,9.0,-,14.4 %,,2021
,Prince Mohamed bin Fahd Stadium,,,,,,,,2021
,Al-Ettifaq FC,,,,,,,,2021
9.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,42.263,4.696,9.0,-,18.8 %,,2021
,King Abdullah Sport City Stadium,,,,,,,,2021
,Al-Raed SFC,,,,,,,,2021
10.0,Al-Majma'ah Sports CityAl-Fayha FC,7.0,40.778,4.531,9.0,-,64.7 %,,2021
,Al-Majma'ah Sports City,,,,,,,,2021
,Al-Fayha FC,,,,,,,,2021
11.0,Al Majma'ah Sports City StadiumAl-Faisaly FC,7.0,40.246,4.025,10.0,-,57.5 %,,2021
,Al Majma'ah Sports City Stadium,,,,,,,,2021
,Al-Faisaly FC,,,,,,,,2021
12.0,Al-Batin Club StadiumAl-Batin FC,6.0,34.294,3.118,11.0,-,52.0 %,,2021
,Al-Batin Club Stadium,,,,,,,,2021
,Al-Batin FC,,,,,,,,2021
13.0,Prince Sultan bin Abdul Aziz StadiumAbha Club,20.0,31.064,3.883,8.0,-,19.4 %,,2021
,Prince Sultan bin Abdul Aziz Stadium,,,,,,,,2021
,Abha Club,,,,,,,,2021
14.0,Prince Abdullah bin Jalawi StadiumAl-Fateh SC,26.0,27.281,4.547,6.0,-,17.5 %,,2021
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2021
,Al-Fateh SC,,,,,,,,2021
15.0,Damac Club StadiumDamac FC,5.0,24.443,4.074,6.0,-,81.5 %,,2021
,Damac Club Stadium,,,,,,,,2021
,Damac FC,,,,,,,,2021
16.0,Al-Hazem Club StadiumAl-Hazem SC,8.0,18.333,1.833,10.0,-,22.9 %,,2021
,Al-Hazem Club Stadium,,,,,,,,2021
,Al-Hazem SC,,,,,,,,2021
,Total:,0.0,1.245.325,8.247,151.0,0,39.4 %,,2021
1.0,King Abdullah Sports CityAl-Ittihad Club,62.345,606.796,40.453,15.0,1,64.9 %,,2022
,King Abdullah Sports City,,,,,,,,2022
,Al-Ittihad Club,,,,,,,,2022
2.0,Al-Awwal ParkAl-Nassr FC,25.0,264.567,17.638,15.0,-,70.6 %,,2022
,Al-Awwal Park,,,,,,,,2022
,Al-Nassr FC,,,,,,,,2022
3.0,Prince Abdullah bin Jalawi StadiumAl-Adalah FC,26.0,193.681,12.912,15.0,-,49.7 %,,2022
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2022
,Al-Adalah FC,,,,,,,,2022
4.0,Prince Abdullah bin Jalawi StadiumAl-Fateh SC,26.0,162.055,10.804,15.0,-,41.6 %,,2022
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2022
,Al-Fateh SC,,,,,,,,2022
5.0,King Fahd International StadiumAl-Hilal SFC,68.752,147.813,9.854,15.0,-,14.3 %,,2022
,King Fahd International Stadium,,,,,,,,2022
,Al-Hilal SFC,,,,,,,,2022
6.0,Al-Taawoun Club StadiumAl-Taawoun FC,5.961,102.642,6.843,15.0,-,114.8 %,,2022
,Al-Taawoun Club Stadium,,,,,,,,2022
,Al-Taawoun FC,,,,,,,,2022
7.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,78.001,6.0,13.0,-,17.1 %,,2022
,Prince Mohamed bin Fahd Stadium,,,,,,,,2022
,Al-Ettifaq FC,,,,,,,,2022
8.0,Prince Mohamed bin Fahd StadiumAl-Khaleej FC,35.0,72.871,6.073,12.0,-,17.4 %,,2022
,Prince Mohamed bin Fahd Stadium,,,,,,,,2022
,Al-Khaleej FC,,,,,,,,2022
9.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,70.721,6.429,11.0,-,25.7 %,,2022
,King Abdullah Sport City Stadium,,,,,,,,2022
,Al-Raed SFC,,,,,,,,2022
10.0,King Abdul Aziz StadiumAl-Wehda FC,38.0,68.694,5.725,12.0,-,15.1 %,,2022
,King Abdul Aziz Stadium,,,,,,,,2022
,Al-Wehda FC,,,,,,,,2022
11.0,Prince Abdul Aziz bin Musa'ed StadiumAl-Tai FC,12.0,65.974,7.33,9.0,-,61.1 %,,2022
,Prince Abdul Aziz bin Musa'ed Stadium,,,,,,,,2022
,Al-Tai FC,,,,,,,,2022
12.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,59.401,5.4,11.0,-,24.0 %,,2022
,Prince Faisal bin Fahad Stadium,,,,,,,,2022
,Al-Shabab FC,,,,,,,,2022
13.0,Damac Club StadiumDamac FC,5.0,55.330,4.611,12.0,-,92.2 %,,2022
,Damac Club Stadium,,,,,,,,2022
,Damac FC,,,,,,,,2022
14.0,Prince Sultan bin Abdul Aziz StadiumAbha Club,20.0,50.553,4.596,11.0,-,23.0 %,,2022
,Prince Sultan bin Abdul Aziz Stadium,,,,,,,,2022
,Abha Club,,,,,,,,2022
15.0,Al-Majma'ah Sports CityAl-Fayha FC,7.0,43.061,3.588,12.0,-,51.3 %,,2022
,Al-Majma'ah Sports City,,,,,,,,2022
,Al-Fayha FC,,,,,,,,2022
16.0,Al-Batin Club StadiumAl-Batin FC,6.0,38.142,3.467,11.0,-,57.8 %,,2022
,Al-Batin Club Stadium,,,,,,,,2022
,Al-Batin FC,,,,,,,,2022
,Total:,0.0,2.080.302,10.197,204.0,1,46.3 %,,2022
1.0,King Fahd International StadiumAl-Hilal SFC,68.752,73.256,36.628,2.0,-,53.3 %,,2023
,King Fahd International Stadium,,,,,,,,2023
,Al-Hilal SFC,,,,,,,,2023
2.0,King Abdullah Sports CityAl-Ahli SFC,62.345,68.636,22.879,3.0,-,36.7 %,,2023
,King Abdullah Sports City,,,,,,,,2023
,Al-Ahli SFC,,,,,,,,2023
3.0,King Abdullah Sports CityAl-Ittihad Club,62.345,45.202,22.601,2.0,-,36.3 %,,2023
,King Abdullah Sports City,,,,,,,,2023
,Al-Ittihad Club,,,,,,,,2023
4.0,Al-Awwal ParkAl-Nassr FC,25.0,41.479,20.74,2.0,-,83.0 %,,2023
,Al-Awwal Park,,,,,,,,2023
,Al-Nassr FC,,,,,,,,2023
5.0,Prince Abdullah bin Jalawi StadiumAl-Fateh SC,26.0,30.501,10.167,3.0,-,39.1 %,,2023
,Prince Abdullah bin Jalawi Stadium,,,,,,,,2023
,Al-Fateh SC,,,,,,,,2023
6.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,28.649,9.55,3.0,-,38.2 %,,2023
,King Abdullah Sport City Stadium,,,,,,,,2023
,Al-Raed SFC,,,,,,,,2023
7.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,20.411,6.804,3.0,-,19.4 %,,2023
,Prince Mohamed bin Fahd Stadium,,,,,,,,2023
,Al-Ettifaq FC,,,,,,,,2023
8.0,Prince Mohamed bin Fahd StadiumAl-Khaleej FC,35.0,16.439,8.22,2.0,-,23.5 %,,2023
,Prince Mohamed bin Fahd Stadium,,,,,,,,2023
,Al-Khaleej FC,,,,,,,,2023
9.0,Al-Hazem Club StadiumAl-Hazem SC,8.0,13.321,6.661,2.0,-,83.3 %,,2023
,Al-Hazem Club Stadium,,,,,,,,2023
,Al-Hazem SC,,,,,,,,2023
10.0,King Abdul Aziz StadiumAl-Wehda FC,38.0,12.5,6.25,2.0,-,16.5 %,,2023
,King Abdul Aziz Stadium,,,,,,,,2023
,Al-Wehda FC,,,,,,,,2023
11.0,Prince Turki bin Abdul Aziz StadiumAl-Riyadh SC,15.0,10.17,3.39,3.0,-,22.6 %,,2023
,Prince Turki bin Abdul Aziz Stadium,,,,,,,,2023
,Al-Riyadh SC,,,,,,,,2023
12.0,Prince Sultan bin Abdul Aziz StadiumAbha Club,20.0,8.752,2.917,3.0,-,14.6 %,,2023
,Prince Sultan bin Abdul Aziz Stadium,,,,,,,,2023
,Abha Club,,,,,,,,2023
13.0,Al-Taawoun Club StadiumAl-Taawoun FC,5.961,8.631,4.316,2.0,-,72.4 %,,2023
,Al-Taawoun Club Stadium,,,,,,,,2023
,Al-Taawoun FC,,,,,,,,2023
14.0,Prince Abdul Aziz bin Musa'ed StadiumAl-Tai FC,12.0,5.139,1.713,3.0,-,14.3 %,,2023
,Prince Abdul Aziz bin Musa'ed Stadium,,,,,,,,2023
,Al-Tai FC,,,,,,,,2023
15.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,4.549,1.516,3.0,-,6.7 %,,2023
,Prince Faisal bin Fahad Stadium,,,,,,,,2023
,Al-Shabab FC,,,,,,,,2023
16.0,Al-Majma'ah Sports CityAl-Fayha FC,7.0,3.117,1.039,3.0,-,14.8 %,,2023
,Al-Majma'ah Sports City,,,,,,,,2023
,Al-Fayha FC,,,,,,,,2023
17.0,Prince Hathloul bin Abdulaziz Sports City StadiumAl-Okhdood Club,12.0,2.775,1.388,2.0,-,11.6 %,,2023
,Prince Hathloul bin Abdulaziz Sports City Stadium,,,,,,,,2023
,Al-Okhdood Club,,,,,,,,2023
18.0,Damac Club StadiumDamac FC,5.0,2.227,1.114,2.0,-,22.3 %,,2023
,Damac Club Stadium,,,,,,,,2023
,Damac FC,,,,,,,,2023
,Total:,0.0,395.754,8.794,45.0,0,33.8 %,,2023
